item_number,name,package_size,max_order_number,category
145610,Amber vials - 20 dram,235,25,Rx dispensing
145611,Amber vials - 40 dram,110,7,Rx dispensing
145612,Amber vials - 60 dram,70,6,Rx dispensing
399469,Rx labels,1200,8,Rx dispensing
108940,Safety caps - 20 dram,150,30,Rx dispensing
108942,Safety caps - 40/60 dram,100,24,Rx dispensing
145622,Non-safety caps - 20 dram,150,16,Rx dispensing
145624,Non-safety caps - 40/60 dram,100,8,Rx dispensing
340620,Liquid bottles - 2oz,200,1,Rx dispensing
340646,Liquid bottles - 4oz,110,3,Rx dispensing
340653,Liquid bottles - 6oz,75,3,Rx dispensing
340661,Liquid bottles - 8oz,60,3,Rx dispensing
340687,Liquid bottles - 16oz,30,3,Rx dispensing
608539,Dosage spoons - 10ml,100,2,Rx dispensing
347174,Oral syringes - 1ml,100,1,Rx dispensing
411878,Oral syringes - 5ml,100,3,Rx dispensing
972648,Oral syringes - 10ml,100,1,Rx dispensing
245761,Adapator cap for liquid bottle - medium,50,1,Rx dispensing
289437,Adapator cap for liquid bottle - large,50,1,Rx dispensing
088369,Printer paper,5000,2,Rx dispensing
421461,Auxillary warning label dispenser,1,1,Rx dispensing
423624,Auxillary warning label - orange controlled substance,1000,1,Rx dispensing
454454,Auxillary warning label - no alcohol,1000,1,Rx dispensing
566620,Auxillary warning label - switched to generic,1000,1,Rx dispensing
446119,Auxillary warning label - green medication is the same,1000,1,Rx dispensing
451625,Auxillary warning label - shake well and keep in fridge,1000,1,Rx dispensing
421784,Counting tray with blue plastic spatula,1,3,Rx dispensing
982827,Prescription bags,4000,2,Rx dispensing
895796,Home Delivery - Tamper evident tape,1,1,Rx dispensing
384471,Packing Dunnage,25,1,Rx dispensing
418989,Home Delivery - USPS boxes,25,4,Rx dispensing
417098,Home Delivery - USPS polybags,100,5,Rx dispensing
503383,Brown paper bags - small,1000,6,Rx dispensing
503532,Brown paper bags - medium,500,6,Rx dispensing
560011,Brown paper bags - large,250,6,Rx dispensing
636977,Goo-Gone - 8oz bottle,1,1,Inventory
233089,Rx shelf labels - yellow,50,1,Inventory
892704,"Strongpak tiny pill bags - 1.5"" x 2""",1000,1,Inventory
892742,"Strongpak bags - 4"" x 6""",100,2,Inventory
892744,"Strongpak bags - 9"" x 12""",200,2,Inventory
892746,"Strongpak bags - 13"" x 18""",100,2,Inventory
892750,"Strongpak bags - 18"" x 24""",50,1,Inventory
338916,Shelf dividers  - blue,1,10,Inventory
448214,Shelf dividers - clear,1,20,Inventory
699624,High alert shelf label - red stop sign,2,3,Inventory
630849,Inmar returns bag for controls,25,1,Inventory
915373,Inmar returns box,6,1,Inventory
182959,Return to Stock labels for zebra printer,12,1,Inventory
108381,Clear trash bag - 15 gallon,1000,1,Trash
443549,Clear trash bag - 33 gallon,100,2,Trash
473922,Blue trash bags - 16 gallon,200,1,Trash
458256,Blue trash bags - 33 gallon,100,1,Trash
695071,Green trash bags - 44 gallon,150,1,Trash
338040,IPledge stickers,100,1,Miscellaneous
347660,Flavor Rx adaptacap,10,1,Miscellaneous
347662,Flavor Rx adaptacap syringe with cap,10,1,Miscellaneous
695783,Floater envelope for keys,10,5,Miscellaneous
238990,Patient history envelopes,50,1,Miscellaneous
126489,Patient profile request log,25,2,Miscellaneous
899238,Pharmacist dispensing log book,1,1,Miscellaneous
437863,Prescription file box for storage,1,10,Miscellaneous
438432,Prescription file folders for storage,100,1,Miscellaneous
140241,Baskets - black,1,24,Miscellaneous
883376,Baskets - blue,1,10,Miscellaneous
140239,Baskets - yellow,1,10,Miscellaneous
171897,Name Badge labels,50,1,Miscellaneous
648272,Name Badge magnets,20,1,Miscellaneous
648315,Name Badge pins,20,1,Miscellaneous
648328,Name Badge - blank,10,1,Miscellaneous
468423,Cotton balls,200,2,Immunization
542967,Alcohol prep pads,100,10,Immunization
326957,CVS heart bandaids,100,4,Immunization
812293,Sharps container,1,4,Immunization
181992,Gloves - small,100,10,Immunization
624149,Gloves - medium,100,10,Immunization
633020,Gloves - large,100,10,Immunization
182056,Gloves - extra large,100,10,Immunization